mileage,make,fuel,gear,offerType,price,hp,year
10,Toyota,Gasoline,Manual,Pre-registered,11790,72.0,2021
10,Kia,Gasoline,Manual,Pre-registered,11950,84.0,2021
10,Toyota,Gasoline,Manual,Pre-registered,11990,72.0,2021
132500,Volkswagen,Gasoline,Automatic,Used,7800,122.0,2011
69019,Peugeot,Gasoline,Manual,Used,7850,156.0,2011
123600,Ford,Gasoline,Manual,Used,7885,150.0,2011
95963,Opel,Gasoline,Manual,Used,7900,120.0,2011
71908,Nissan,Gasoline,Manual,Used,7900,117.0,2011
93510,Kia,Gasoline,Manual,Used,7900,90.0,2011
131322,Volkswagen,Gasoline,Manual,Used,7900,122.0,2011
228000,Volkswagen,Diesel,Manual,Used,7900,170.0,2011
61999,Honda,Gasoline,Manual,Used,7949,99.0,2011
87216,Volkswagen,Gasoline,Manual,Used,7970,122.0,2011
120600,Ford,Gasoline,Manual,Used,7970,150.0,2011
119850,Volkswagen,Gasoline,Automatic,Used,7990,86.0,2011
154500,Volkswagen,Gasoline,Manual,Used,7990,160.0,2011
92800,Renault,Gasoline,Manual,Used,7990,131.0,2011
118210,Volkswagen,Gasoline,Manual,Used,7990,160.0,2011
86000,Opel,Gasoline,Manual,Used,7998,116.0,2011
24170,Toyota,Gasoline,Automatic,Used,7999,132.0,2011
188758,Volkswagen,Diesel,Manual,Used,7999,140.0,2011
107001,Volkswagen,Gasoline,Manual,Used,7999,122.0,2011
81179,Ford,Gasoline,Manual,Used,7900,105.0,2012
98669,Toyota,Hybrid,Automatic,Used,7900,75.0,2012
86747,Skoda,Gasoline,Manual,Used,7900,86.0,2012
147500,Skoda,Diesel,Manual,Used,7900,140.0,2012
140000,Toyota,Diesel,Manual,Used,7950,124.0,2012
89400,Volkswagen,Gasoline,Manual,Used,7980,122.0,2012
100000,Skoda,Gasoline,Manual,Used,7980,122.0,2012
14300,Opel,Gasoline,Automatic,Used,7990,101.0,2012
102000,Opel,Gasoline,Manual,Used,7990,179.0,2012
98600,SEAT,Gasoline,Automatic,Used,7990,160.0,2012
123000,Ford,Gasoline,Manual,Used,7990,160.0,2012
70600,Toyota,Gasoline,Automatic,Used,7990,99.0,2012
35300,Kia,Gasoline,Manual,Used,7990,99.0,2012
128000,Volkswagen,Gasoline,Manual,Used,7990,122.0,2012
91000,Volkswagen,Gasoline,Manual,Used,7990,105.0,2012
100000,Hyundai,Gasoline,Manual,Used,7999,135.0,2012
105531,Toyota,Gasoline,Automatic,Used,7999,99.0,2012
110405,Volkswagen,Gasoline,Manual,Used,7999,122.0,2012
261000,BMW,Diesel,Automatic,Used,8000,184.0,2012
82822,Toyota,Hybrid,Automatic,Used,8500,75.0,2013
35000,Skoda,Gasoline,Manual,Used,8500,105.0,2013
148000,Citroen,Diesel,Automatic,Used,8500,150.0,2013
44700,Opel,Gasoline,Manual,Used,8500,69.0,2013
77820,Mazda,Gasoline,Manual,Used,8550,105.0,2013
31000,Ford,Gasoline,Manual,Used,8679,125.0,2013
46000,Volkswagen,Gasoline,Manual,Used,8699,69.0,2013
50000,Ford,Gasoline,Manual,Used,8699,101.0,2013
75800,Peugeot,Gasoline,Manual,Used,8700,82.0,2013
122450,Suzuki,Diesel,Manual,Used,8700,135.0,2013
54689,Opel,Gasoline,Manual,Used,8740,140.0,2013
98000,Honda,Gasoline,Manual,Used,8790,99.0,2013
55135,Honda,Gasoline,Manual,Used,8800,99.0,2013
53998,Hyundai,Gasoline,Manual,Used,8880,86.0,2013
76796,Peugeot,Gasoline,Manual,Used,8885,120.0,2013
84000,Skoda,Diesel,Manual,Used,8888,110.0,2013
48795,Skoda,Gasoline,Automatic,Used,8899,105.0,2013
85320,Opel,Gasoline,Manual,Used,8900,140.0,2013
118070,Toyota,Hybrid,Automatic,Used,8900,75.0,2013
59100,Kia,Gasoline,Manual,Used,8900,90.0,2013
85183,Opel,Gasoline,Manual,Used,8898,140.0,2014
53795,Volkswagen,Gasoline,Manual,Used,8900,60.0,2014
74450,Citroen,Gasoline,Manual,Used,8900,156.0,2014
167000,Volkswagen,Diesel,Manual,Used,8950,110.0,2014
182150,Volkswagen,Gasoline,Manual,Used,8980,140.0,2014
